x y s dx dy
902.71 1134.79 118.117 0.000702893 -1
903.67 1134.79 119.077 0.00223177 -0.999998
904.631 1134.8 120.038 0.00409628 -0.999992
905.591 1134.8 120.998 0.00603006 -0.999982
906.551 1134.81 121.958 0.00760592 -0.999971
907.511 1134.81 122.918 0.00878539 -0.999961
908.472 1134.82 123.879 0.00956845 -0.999954
909.432 1134.83 124.839 0.00995513 -0.99995
910.392 1134.84 125.799 0.00994544 -0.999951
911.352 1134.85 126.76 0.0095394 -0.999954
912.313 1134.86 127.72 0.00876294 -0.999962
913.273 1134.87 128.68 0.00801597 -0.999968
914.233 1134.88 129.641 0.00761257 -0.999971
915.194 1134.88 130.601 0.00756119 -0.999971
916.154 1134.89 131.561 0.00786184 -0.999969
917.114 1134.9 132.522 0.00851455 -0.999964
918.075 1134.91 133.482 0.00951939 -0.999955
919.035 1134.92 134.442 0.0108764 -0.999941
919.995 1134.93 135.402 0.0124391 -0.999923
920.955 1134.94 136.362 0.0133213 -0.999911
921.915 1134.95 137.322 0.0131919 -0.999913
922.875 1134.96 138.283 0.0120503 -0.999927
923.835 1134.97 139.243 0.0098968 -0.999951
924.795 1134.98 140.203 0.00673206 -0.999977
925.755 1134.99 141.163 0.00255705 -0.999997
926.716 1134.99 142.124 -0.00262472 -0.999997
927.677 1134.99 143.085 -0.00767167 -0.999971
928.638 1134.98 144.046 -0.00953387 -0.999955
929.6 1134.97 145.007 -0.00770835 -0.99997
930.561 1134.97 145.969 -0.00219232 -0.999998
931.522 1134.96 146.93 0.00702159 -0.999975
932.482 1134.97 147.89 0.0199419 -0.999801
933.442 1134.99 148.85 0.0365726 -0.999331
934.4 1135.03 149.809 0.0568214 -0.998384
935.358 1135.08 150.768 0.0775523 -0.996988
936.314 1135.15 151.727 0.0947905 -0.995497
937.269 1135.25 152.687 0.108289 -0.994119
938.224 1135.35 153.647 0.118068 -0.993005
939.178 1135.46 154.608 0.124149 -0.992264
940.132 1135.58 155.569 0.126546 -0.991961
941.085 1135.7 156.531 0.125267 -0.992123
942.039 1135.82 157.492 0.120489 -0.992715
942.993 1135.94 158.453 0.114868 -0.993381
943.948 1136.05 159.414 0.110451 -0.993882
944.902 1136.16 160.374 0.107292 -0.994228
945.857 1136.26 161.335 0.105395 -0.99443
946.812 1136.36 162.295 0.104761 -0.994497
947.767 1136.46 163.255 0.10539 -0.994431
948.721 1136.56 164.215 0.107282 -0.994229
949.676 1136.67 165.175 0.110218 -0.993907
950.63 1136.77 166.135 0.112544 -0.993647
951.584 1136.88 167.094 0.113513 -0.993536
952.537 1136.99 168.054 0.113122 -0.993581
953.491 1137.1 169.015 0.111372 -0.993779
954.446 1137.2 169.975 0.108261 -0.994122
955.4 1137.31 170.935 0.103792 -0.994599
956.356 1137.41 171.896 0.0979624 -0.99519
957.312 1137.5 172.857 0.0916698 -0.995789
958.27 1137.59 173.819 0.0886027 -0.996067
